name,popularity
Bathua Raita Recipe,"[<span id=""recipenumvotes"">2974 ratings.</span>]"
Vegan Kofta Curry Recipe,"[<span id=""recipenumvotes"">1991 ratings.</span>]"
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,"[<span id=""recipenumvotes"">9935 ratings.</span>]"
Mangalorean Manoli Bheeja Upkari Recipe - Ivy Gourd & Cashew Sabzi,"[<span id=""recipenumvotes"">2932 ratings.</span>]"
Cauliflower And Red Bell Pepper Stir Fry Recipe,"[<span id=""recipenumvotes"">1542 ratings.</span>]"
Manathakkali Thayir Pachadi Recipe,"[<span id=""recipenumvotes"">815 ratings.</span>]"
Aloo Konir Dom Recipe (Assamese Egg & Potato Curry),"[<span id=""recipenumvotes"">4033 ratings.</span>]"
Chettinad Vengaya Kosu Recipe (Spicy Curry from Chettinad Cuisine),"[<span id=""recipenumvotes"">4285 ratings.</span>]"
Mini Bajra Uttapam Recipe,"[<span id=""recipenumvotes"">3703 ratings.</span>]"
Andhra Style Pindi Miriyam Recipe,"[<span id=""recipenumvotes"">2827 ratings.</span>]"
Broccoli Egg Bhurji Recipe,"[<span id=""recipenumvotes"">7264 ratings.</span>]"
Paneer Butter Masala Recipe,"[<span id=""recipenumvotes"">9630 ratings.</span>]"
Pineapple Gojju Recipe (Karnataka Style Tangy And Spicy Pineapple Curry),"[<span id=""recipenumvotes"">13313 ratings.</span>]"
