name,popularity
Muttaikose Poriyal Recipe - Cabbage Stir fry With Coconut,700
Cabbage Thoran Recipe - Kerala Style Cabbage Stir Fry,700
Beans Matki Bhaji Recipe - Green Beans Moth Beans Sabzi,700
Tamatar Pyaz Ki Sabzi Recipe -Tomato Onion Sabzi,"[<span id=""recipenumvotes"">13973 ratings.</span>]"
Khatta Meetha Tamatar Sabzi Recipe - A Chutney Style Dry Sabzi,700
Dhaba Style Dal Palak Recipe,"[<span id=""recipenumvotes"">7394 ratings.</span>]"
Appalam Vatha Kuzhambu Recipe - Papad In Tamarind Gravy,700
Green Beans Paruppu Usili Recipe - Iyengar Style,700
Pachai Payaru Payasam Recipe - Green Moong Dal Payasam,"[<span id=""recipenumvotes"">6029 ratings.</span>]"
Jowar Atta Roti Recipe - Sorghum Wheat Phulka Recipe,"[<span id=""recipenumvotes"">6832 ratings.</span>]"
Vaghareli Rotli Recipe - Roti Ka Poha,700
Paneer and Green Peas Paratha Recipe,"[<span id=""recipenumvotes"">2385 ratings.</span>]"
Railway Mutton Curry Recipe,"[<span id=""recipenumvotes"">12115 ratings.</span>]"
Nellikai Rasam Recipe - Whole Gooseberry Rasam,700
Khatti Meethi Lauki Dal Recipe - Sweet & Spicy Bottle Gourd Dal,700
Gawar Ki Sabzi Recipe - Cluster Beans Curry,700
Bhaat Ka Thepla Recipe - Spiced Rice Paratha,700
High Protein Moong Dal Cheela Recipe With Stuffed Paneer,700
Raw Papaya Mor Kootu Recipe - Ayurvedic No Onion No Garlic Recipe,"[<span id=""recipenumvotes"">1782 ratings.</span>]"
Beetroot Poriyal Recipe - Stir Fried Beetroot,700
Kerala Style Varutharacha Mutton Curry Recipe,700
Puliyodharai / Puliyogare Recipe (Spicy Tamarind Rice) with Pulikachal,700
Baingan Ki Lonje Recipe - Uttar Pradesh Style Brinjal Sabzi,"[<span id=""recipenumvotes"">2317 ratings.</span>]"
Goan Style Empada De Camarao Recipe (Prawn Pie),"[<span id=""recipenumvotes"">1344 ratings.</span>]"
Pavakkai Poriyal Recipe - Karela Ki Sabzi,"[<span id=""recipenumvotes"">9418 ratings.</span>]"
Maharashtrian Chavali Chi Usal Recipe - Black Eyed Peas Curry,700
Lauki Ke Kofta Curry Flavoured With Kasuri Methi,"[<span id=""recipenumvotes"">1643 ratings.</span>]"
Rumali Roti Recipe,"[<span id=""recipenumvotes"">3354 ratings.</span>]"
Bhugi Dal Paratha Recipe - Moong Dal Paratha,700
Dhania Chole Masala Recipe - Chickpeas In Fresh Coriander Gravy,700
Spicy Broken Wheat Khichdi With Vegetables Recipe,"[<span id=""recipenumvotes"">5682 ratings.</span>]"
Paneer in White Gravy Recipe - No Onion No Garlic Recipe,700
Tamatari Chole Recipe,"[<span id=""recipenumvotes"">1800 ratings.</span>]"
Rajasthani Papad Ki Sabzi Recipe,700
Ragi Onion Uttapam Recipe - Wholesome Breakfast Recipe,700
Karnataka Style Menthya Soppu Hesaru Kaalu Palya Recipe,"[<span id=""recipenumvotes"">3611 ratings.</span>]"
Feijoada Recipe - Spicy Goan Black Eyed Peas Stew,700
Gahat Rasmi Badi Recipe (Uttaranchal Kulith Koftas In Tomato Onion Gravy),"[<span id=""recipenumvotes"">1219 ratings.</span>]"
Nepalese Style Dhal Bhat Recipe,"[<span id=""recipenumvotes"">11209 ratings.</span>]"
Posto Pabda (Bengali Fish Curry In Poppy Seeds Paste),"[<span id=""recipenumvotes"">2959 ratings.</span>]"
Broccoli And Tofu Green Curry Recipe,"[<span id=""recipenumvotes"">1426 ratings.</span>]"
Vadyancho Ross Recipe (Ash Gourd Chips Curry),"[<span id=""recipenumvotes"">483 ratings.</span>]"
Chettinad Takkali Sadam Recipe (Chettinad Style Tomato Rice),"[<span id=""recipenumvotes"">8484 ratings.</span>]"
Dry Fruit Ghughra/Gujiya Recipe (Pastry Crust Pockets Filled With Dry Fruits),700
Goan Style Caldinho de Abobora Branca Recipe (Mild Curry of white Pumpkin),"[<span id=""recipenumvotes"">1507 ratings.</span>]"
Matar Besan And Paneer Cheela Recipe -Green Peas & Paneer Crepes,700
Rajasthani Chawle Wale Dhokle Recipe,"[<span id=""recipenumvotes"">572 ratings.</span>]"
Parsi Style Chicken Mahivalla Recipe,700
Instant Sooji Oats Dhokla Recipe - Steamed Semolina & Oats Dhokla,700
Jolada Roti Recipe - Jowar Bhakri,700
